step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,6.22392,0.25,,
2,4.6072,0.5,,
3,3.75919,0.45455,,
4,2.88643,0.63636,,
5,5.09498,0.57143,,
6,3.3005,0.6,,
7,4.60727,0.4,,
8,2.34463,0.66667,,
9,3.13136,0.6,,
10,1.19587,0.69231,,
11,1.4504,0.7,,
12,1.22471,0.75,,
13,2.05323,0.4,,
14,1.56456,0.66667,,
15,2.4348,0.5,,
16,0.27577,1.0,,
17,2.1297,0.66667,,
18,1.61384,0.6,,
19,1.84163,0.63636,,
20,1.59766,0.72222,,
21,1.68697,0.69231,,
22,1.52177,0.69231,,
23,0.41339,0.8,,
24,1.10284,0.66667,,
25,1.29559,0.7,,
26,0.54843,0.81818,,
27,0.71233,0.92308,,
28,1.01122,0.75,,
29,0.61134,0.66667,,
30,1.03058,0.66667,,
31,0.4819,0.81818,,
32,0.38908,0.9,,
33,0.7275,0.85714,,
34,0.9055,0.78571,,
35,0.51832,0.85714,,
36,1.05107,0.78571,,
37,1.35954,0.71429,,
38,1.36117,0.53846,,
39,1.26823,0.84615,,
40,1.26414,0.83333,,
41,0.68039,0.75,,
42,0.52061,0.83333,,
43,0.79212,0.8,,
44,1.07032,0.8,,
45,0.51283,0.77778,,
46,1.23354,0.71429,,
47,0.88199,0.69231,,
48,0.54902,0.86667,,
49,1.10611,0.875,,
50,1.12842,0.88889,,
51,2.0032,0.5,,
52,0.43734,0.91667,,
53,0.52524,0.72727,,
54,0.35397,0.84615,,
55,1.10768,0.71429,,
56,1.45976,0.77778,,
57,0.43561,0.85714,,
58,1.81496,0.54545,,
59,0.72637,0.66667,,
60,0.41748,0.75,,
61,1.0084,0.69231,,
62,0.59678,0.75,,
63,1.11203,0.71429,,
64,1.35216,0.69231,,
65,0.31697,0.92308,,
66,1.14728,0.63636,,
67,1.71588,0.69231,,
68,0.64221,0.76471,,
69,1.66074,0.7,,
70,0.64411,0.85714,,
71,0.62679,0.85714,,
72,0.5541,0.8,,
73,1.46091,0.72727,,
74,1.13422,0.71429,,
75,0.9916,0.72727,,
76,1.0243,0.76923,,
77,0.9923,0.64286,,
78,1.19008,0.8,,
79,1.1457,0.75,,
80,1.12934,0.70588,,
81,0.43322,0.85714,,
82,0.75773,0.75,,
83,0.77547,0.7619,,
84,1.19041,0.625,,
85,0.8059,0.66667,,
86,0.45762,0.81818,,
87,1.04274,0.8,,
88,1.16603,0.71429,,
89,1.14941,0.72727,,
90,0.91914,0.63636,,
91,0.55488,0.88889,,
92,0.93949,0.71429,,
93,0.92546,0.90909,,
94,0.4406,0.95,,
95,0.77261,0.85714,,
96,0.50745,0.76923,,
97,0.80404,0.8,,
98,2.51858,0.5,,
99,0.30593,0.92308,,
100,0.6419,0.7,,
