step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,3.07854,0.46154,,
2,2.32874,0.55,,
3,5.84713,0.57143,,
4,4.80234,0.46667,,
5,3.73353,0.4375,,
6,4.41334,0.45455,,
7,2.74496,0.35714,,
8,3.02003,0.27273,,
9,1.57107,0.53846,,
10,1.66402,0.66667,1.50539,0.57143
11,1.36225,0.71429,,
12,1.23639,0.72222,,
13,0.7755,0.71429,,
14,1.42894,0.72727,,
15,1.22368,0.8,,
16,3.33228,0.5,,
17,2.07427,0.54545,,
18,0.6619,0.8,,
19,0.75881,0.71429,,
20,0.73319,0.66667,1.44989,0.57143
21,0.63947,0.71429,,
22,0.73595,0.81818,,
23,1.43033,0.69231,,
24,1.04248,0.75,,
25,0.93762,0.6,,
26,0.49316,0.8125,,
27,0.70053,0.8,,
28,0.36786,0.88889,,
29,1.49497,0.57143,,
30,1.95023,0.625,1.06709,0.71429
31,1.17223,0.66667,,
32,0.96089,0.8,,
33,1.91382,0.8,,
34,0.48943,0.88889,,
35,1.04107,0.64706,,
36,1.3496,0.64286,,
37,2.28661,0.58333,,
38,1.06261,0.72727,,
39,0.68158,0.90909,,
40,0.31478,0.92308,1.11071,0.71429
41,0.32108,0.9,,
42,1.21054,0.7,,
43,1.77569,0.625,,
44,0.41197,0.91667,,
45,1.06186,0.8,,
46,1.66261,0.63636,,
47,1.23373,0.76923,,
48,0.97592,0.66667,,
49,1.70276,0.69231,,
50,1.25691,0.72727,0.58681,0.88889
51,0.42451,0.77778,,
52,0.85819,0.6875,,
53,0.55481,0.83333,,
54,1.53012,0.7,,
55,0.81534,0.86667,,
56,0.41259,0.85714,,
57,1.26793,0.77778,,
58,0.55754,0.82353,,
59,0.64559,0.85714,,
60,0.9864,0.72727,0.35607,0.92308
61,1.11127,0.75,,
62,1.53716,0.61538,,
63,0.67618,0.63636,,
64,0.59437,0.86667,,
65,0.76981,0.69231,,
66,0.99628,0.92308,,
67,0.77171,0.78571,,
68,0.9269,0.6,,
69,0.49853,0.88889,,
70,1.44052,0.6,0.89602,0.75
71,1.00556,0.61538,,
72,1.12919,0.76923,,
73,1.03688,0.78571,,
74,1.3219,0.57143,,
75,1.48027,0.77778,,
76,1.10611,0.64286,,
77,0.2231,1.0,,
78,0.69354,0.83333,,
79,0.41518,0.8,,
80,0.73621,0.72727,1.20901,0.8
81,0.07643,1.0,,
82,0.32374,1.0,,
83,0.46362,0.875,,
84,0.31952,0.875,,
85,0.25081,0.91667,,
86,0.29355,0.85714,,
87,0.19853,0.88889,,
88,0.02815,1.0,,
89,0.68678,0.77778,,
90,0.23628,0.92857,0.51216,0.73333
91,0.50195,0.9,,
92,0.38035,0.84615,,
93,0.05529,1.0,,
94,0.54857,0.75,,
95,0.62437,0.78571,,
96,0.1272,0.90909,,
97,0.6527,0.8,,
98,0.18486,0.9375,,
99,0.49888,0.84615,,
100,0.24649,0.8,1.25225,0.71429
101,0.44272,0.92308,,
102,0.36687,0.92857,,
103,0.15386,0.90909,,
104,0.09854,1.0,,
105,0.42711,0.81818,,
106,0.12173,1.0,,
107,1.55518,0.64286,,
108,0.20394,1.0,,
109,0.35852,0.86667,,
110,0.75161,0.85714,0.41003,0.8
111,0.3061,0.92857,,
112,0.03446,1.0,,
113,1.00457,0.72727,,
114,0.38079,0.90909,,
115,0.25808,0.85714,,
116,0.47665,0.83333,,
117,0.30094,0.91667,,
118,0.18726,0.93333,,
119,0.20492,0.90909,,
120,0.35008,0.9,0.3234,0.84615
121,0.22892,0.9,,
122,0.06775,1.0,,
123,0.21159,0.9,,
124,0.21008,0.92857,,
125,0.50741,0.92308,,
126,0.21805,0.88889,,
127,0.11386,0.90909,,
128,0.04651,1.0,,
129,0.19574,0.92857,,
130,0.07495,1.0,0.73822,0.75
131,0.4141,0.85714,,
132,0.10345,1.0,,
133,0.47909,0.9,,
134,0.05112,1.0,,
135,0.42273,0.91667,,
136,0.33346,0.84615,,
137,0.14004,1.0,,
138,0.40388,0.90909,,
139,0.78755,0.9,,
140,0.4218,0.84615,1.30572,0.81818
141,1.30194,0.73333,,
142,0.48714,0.77778,,
143,0.1242,1.0,,
144,0.01813,1.0,,
145,0.51434,0.78571,,
146,0.03464,1.0,,
147,0.35182,0.71429,,
148,0.01945,1.0,,
149,0.19996,0.91667,,
150,0.33598,0.875,0.84048,0.78571
151,0.04845,1.0,,
152,0.14291,0.92857,,
153,0.08197,1.0,,
154,0.41132,0.93333,,
155,0.02745,1.0,,
156,1.15916,0.75,,
157,0.36723,0.9,,
158,0.74327,0.81818,,
159,0.33705,0.82353,,
160,0.45745,0.92308,1.62063,0.76923
161,0.11626,1.0,,
162,0.01851,1.0,,
163,0.02787,1.0,,
164,0.53647,0.83333,,
165,0.03649,1.0,,
166,0.00232,1.0,,
167,0.00995,1.0,,
168,0.11669,1.0,,
169,0.04318,1.0,,
170,0.05793,1.0,1.95157,0.76923
171,0.00551,1.0,,
172,0.00768,1.0,,
173,0.01144,1.0,,
174,0.13463,0.93333,,
175,0.15872,0.92857,,
176,0.09778,1.0,,
177,0.02665,1.0,,
178,0.01031,1.0,,
179,0.20857,0.91667,,
180,0.1148,0.92308,1.57395,0.66667
181,0.04026,1.0,,
182,0.0313,1.0,,
183,0.02105,1.0,,
184,0.12537,1.0,,
185,0.16898,0.90909,,
186,0.00418,1.0,,
187,0.01738,1.0,,
188,0.0022,1.0,,
189,0.0023,1.0,,
190,0.00312,1.0,2.61756,0.66667
191,0.15234,0.92857,,
192,0.10102,0.9375,,
193,0.1966,0.95,,
194,0.19449,0.92857,,
195,0.22442,0.9,,
196,0.40392,0.90909,,
197,0.02592,1.0,,
198,0.08944,1.0,,
199,0.34502,0.9,,
200,0.0475,1.0,1.18628,0.7
201,0.001,1.0,,
202,0.00322,1.0,,
203,0.37215,0.85714,,
204,0.00727,1.0,,
205,0.11394,1.0,,
206,0.01661,1.0,,
207,0.01562,1.0,,
208,0.11783,0.9375,,
209,0.05354,1.0,,
210,0.22663,0.88889,0.8448,0.78571
211,0.00977,1.0,,
212,0.76566,0.8,,
213,0.07699,1.0,,
214,0.83303,0.9,,
215,0.01131,1.0,,
216,0.43571,0.83333,,
217,0.12166,0.90909,,
218,0.00703,1.0,,
219,0.0337,1.0,,
220,0.02362,1.0,1.85351,0.57143
221,0.03237,1.0,,
222,0.01219,1.0,,
223,0.707,0.92857,,
224,0.0033,1.0,,
225,0.00919,1.0,,
226,0.05853,1.0,,
227,0.0397,1.0,,
228,0.25864,0.85714,,
229,0.00118,1.0,,
230,0.05128,1.0,1.83342,0.80952
231,0.06952,1.0,,
232,0.00021,1.0,,
233,0.04086,1.0,,
234,0.00436,1.0,,
235,0.00272,1.0,,
236,0.51398,0.84615,,
237,0.14378,0.94444,,
238,0.0139,1.0,,
239,0.19765,0.92308,,
240,0.00059,1.0,0.87948,0.71429
