step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.49688,0.81818,,
2,1.20318,0.9,,
3,1.30965,0.89286,,
4,0.99305,0.91429,,
5,1.13596,0.90323,,
6,0.88356,0.93548,,
7,1.60547,0.84615,,
8,0.75921,0.92593,,
9,0.45889,0.93939,,
10,0.3631,0.91667,0.2347,0.96296
11,0.21673,0.96552,,
12,0.38674,0.92308,,
13,0.04582,0.96552,,
14,0.01442,1.0,,
15,0.0018,1.0,,
16,0.60459,0.93333,,
17,0.15963,0.96552,,
18,0.02339,1.0,,
19,0.22423,0.93333,,
20,0.05346,0.96429,0.27314,0.93103
21,0.03042,1.0,,
22,0.17803,0.96667,,
23,0.06396,0.96552,,
24,0.02608,1.0,,
25,0.31472,0.93548,,
26,0.00126,1.0,,
27,0.00704,1.0,,
28,0.00055,1.0,,
29,0.00288,1.0,,
30,0.00051,1.0,0.52511,0.96552
31,0.00011,1.0,,
32,0.5506,0.93548,,
33,0.00012,1.0,,
34,0.41311,0.96875,,
35,0.00061,1.0,,
36,0.00011,1.0,,
37,0.00048,1.0,,
38,0.00136,1.0,,
39,0.00034,1.0,,
40,0.00098,1.0,0.00089,1.0
41,0.0011,1.0,,
42,0.00082,1.0,,
43,8e-05,1.0,,
44,8e-05,1.0,,
45,0.18776,0.96667,,
46,0.28779,0.96667,,
47,0.00051,1.0,,
48,0.00019,1.0,,
49,0.00013,1.0,,
50,0.00021,1.0,0.00055,1.0
51,0.00061,1.0,,
52,0.00023,1.0,,
53,0.00036,1.0,,
54,0.00022,1.0,,
55,0.00024,1.0,,
56,0.00024,1.0,,
57,0.23648,0.97222,,
58,0.00028,1.0,,
59,0.00036,1.0,,
60,0.00033,1.0,0.00031,1.0
61,0.00027,1.0,,
62,0.00025,1.0,,
63,0.00022,1.0,,
64,0.16019,0.96667,,
65,0.0003,1.0,,
66,0.00042,1.0,,
67,0.00113,1.0,,
68,0.0007,1.0,,
69,0.00081,1.0,,
70,0.00701,1.0,0.00038,1.0
71,0.00103,1.0,,
72,0.00086,1.0,,
73,0.00053,1.0,,
74,0.00034,1.0,,
75,0.00032,1.0,,
76,0.00047,1.0,,
77,0.00023,1.0,,
78,0.00022,1.0,,
79,0.00015,1.0,,
80,0.0001,1.0,9e-05,1.0
81,0.00033,1.0,,
82,5e-05,1.0,,
83,8e-05,1.0,,
84,0.00036,1.0,,
85,6e-05,1.0,,
86,7e-05,1.0,,
87,4e-05,1.0,,
88,3e-05,1.0,,
89,0.00319,1.0,,
90,2e-05,1.0,1e-05,1.0
91,2e-05,1.0,,
92,1e-05,1.0,,
93,1e-05,1.0,,
94,1e-05,1.0,,
95,1e-05,1.0,,
96,0.0,1.0,,
97,1e-05,1.0,,
98,1e-05,1.0,,
99,1e-05,1.0,,
100,0.42104,0.96667,5e-05,1.0
101,0.0,1.0,,
102,0.0,1.0,,
